spanMedian,spanP90,inkAtLeast,fits,driftRatio,spacing,zoom,theta,shape
65537,65537,1,0,1,1,8,0.2,circle
65537,65537,0.855,0,1,1,2,0.2,circle
65537,65537,0.689,0,1,1,1,0.2,circle
65537,65537,0.686,0,1,1,0.4,0.2,circle
65537,65537,0.66,0,1,1,0.15,0.2,circle
65537,65537,0.658,0,1,1,0.08,0.2,circle
102,151,0.262,1,1.414,1,8,0,circle
396,593,0.256,1,1.414,1,2,0,circle
788,1185,0.254,0,1.414,1,1,0,circle
1968,2957,0.254,0,1.414,1,0.4,0,circle
5244,7883,0.254,0,1.414,1,0.15,0,circle
9831,14778,0.254,0,1.414,1,0.08,0,circle
102,151,0.244,1,1.414,1,8,0.002,circle
396,593,0.229,1,1.414,1,2,0.002,circle
788,1185,0.35,0,1.414,1,1,0.002,circle
1968,2957,0.639,0,1.414,1,0.4,0.002,circle
5244,7883,0.854,0,1.414,1,0.15,0.002,circle
9831,14778,0.869,0,1.414,1,0.08,0.002,circle
102,151,0.26,1,1.414,1,8,0.01,circle
396,593,0.65,1,1.414,1,2,0.01,circle
788,1185,0.797,0,1.414,1,1,0.01,circle
1968,2957,0.85,0,1.414,1,0.4,0.01,circle
5244,7883,0.902,0,1.414,1,0.15,0.01,circle
9831,14778,0.879,0,1.414,1,0.08,0.01,circle
102,151,0.717,1,1.414,1,8,0.05,circle
396,593,0.773,1,1.414,1,2,0.05,circle
788,1185,0.832,0,1.414,1,1,0.05,circle
1968,2957,0.848,0,1.414,1,0.4,0.05,circle
5244,7883,0.895,0,1.414,1,0.15,0.05,circle
9831,14778,0.875,0,1.414,1,0.08,0.05,circle
102,151,0.822,1,1.414,1,8,0.2,circle
396,593,0.785,1,1.414,1,2,0.2,circle
788,1185,0.838,0,1.414,1,1,0.2,circle
1968,2957,0.842,0,1.414,1,0.4,0.2,circle
5244,7883,0.867,0,1.414,1,0.15,0.2,circle
9831,14778,0.846,0,1.414,1,0.08,0.2,circle
18,26,0.08,1,2.693,1,8,0,circle
66,97,0.082,1,2.693,1,2,0,circle
128,192,0.082,1,2.693,1,1,0,circle
318,477,0.082,1,2.693,1,0.4,0,circle
846,1267,0.082,0,2.693,1,0.15,0,circle
1584,2376,0.082,0,2.693,1,0.08,0,circle
18,26,0.086,1,2.693,1,8,0.002,circle
66,97,0.076,1,2.693,1,2,0.002,circle
128,192,0.074,1,2.693,1,1,0.002,circle
318,477,0.16,1,2.693,1,0.4,0.002,circle
846,1267,0.287,0,2.693,1,0.15,0.002,circle
1584,2376,0.475,0,2.693,1,0.08,0.002,circle
18,26,0.078,1,2.693,1,8,0.01,circle
66,97,0.131,1,2.693,1,2,0.01,circle
128,192,0.227,1,2.693,1,1,0.01,circle
318,477,0.438,1,2.693,1,0.4,0.01,circle
846,1267,0.811,0,2.693,1,0.15,0.01,circle
1584,2376,0.875,0,2.693,1,0.08,0.01,circle
18,26,0.158,1,2.693,1,8,0.05,circle
66,97,0.182,1,2.693,1,2,0.05,circle
128,192,0.307,1,2.693,1,1,0.05,circle
318,477,0.594,1,2.693,1,0.4,0.05,circle
846,1267,0.885,0,2.693,1,0.15,0.05,circle
1584,2376,0.896,0,2.693,1,0.08,0.05,circle
18,26,0.168,1,2.693,1,8,0.2,circle
66,97,0.207,1,2.693,1,2,0.2,circle
128,192,0.293,1,2.693,1,1,0.2,circle
318,477,0.617,1,2.693,1,0.4,0.2,circle
846,1267,0.859,0,2.693,1,0.15,0.2,circle
1584,2376,0.881,0,2.693,1,0.08,0.2,circle
8,12,0.023,1,4.123,1,8,0,circle
27,39,0.033,1,4.123,1,2,0,circle
52,77,0.037,1,4.123,1,1,0,circle
127,189,0.045,1,4.123,1,0.4,0,circle
334,499,0.045,1,4.123,1,0.15,0,circle
624,933,0.045,1,4.123,1,0.08,0,circle
8,12,0.035,1,4.123,1,8,0.002,circle
27,39,0.033,1,4.123,1,2,0.002,circle
52,77,0.045,1,4.123,1,1,0.002,circle
127,189,0.059,1,4.123,1,0.4,0.002,circle
334,499,0.182,1,4.123,1,0.15,0.002,circle
624,933,0.156,1,4.123,1,0.08,0.002,circle
8,12,0.037,1,4.123,1,8,0.01,circle
27,39,0.041,1,4.123,1,2,0.01,circle
52,77,0.113,1,4.123,1,1,0.01,circle
127,189,0.133,1,4.123,1,0.4,0.01,circle
334,499,0.475,1,4.123,1,0.15,0.01,circle
624,933,0.736,1,4.123,1,0.08,0.01,circle
8,12,0.063,1,4.123,1,8,0.05,circle
27,39,0.07,1,4.123,1,2,0.05,circle
52,77,0.113,1,4.123,1,1,0.05,circle
127,189,0.27,1,4.123,1,0.4,0.05,circle
334,499,0.641,1,4.123,1,0.15,0.05,circle
624,933,0.865,1,4.123,1,0.08,0.05,circle
8,12,0.07,1,4.123,1,8,0.2,circle
27,39,0.086,1,4.123,1,2,0.2,circle
52,77,0.111,1,4.123,1,1,0.2,circle
127,189,0.303,1,4.123,1,0.4,0.2,circle
334,499,0.627,1,4.123,1,0.15,0.2,circle
624,933,0.844,1,4.123,1,0.08,0.2,circle
36,52,0.219,1,2,1,8,0,circle
134,200,0.219,1,2,1,2,0,circle
265,397,0.219,1,2,1,1,0,circle
659,989,0.219,1,2,1,0.4,0,circle
1754,2634,0.219,0,2,1,0.15,0,circle
3287,4936,0.219,0,2,1,0.08,0,circle
36,52,0.229,1,2,1,8,0.002,circle
134,200,0.217,1,2,1,2,0.002,circle
265,397,0.207,1,2,1,1,0.002,circle
659,989,0.219,1,2,1,0.4,0.002,circle
1754,2634,0.586,0,2,1,0.15,0.002,circle
3287,4936,0.777,0,2,1,0.08,0.002,circle
36,52,0.219,1,2,1,8,0.01,circle
134,200,0.189,1,2,1,2,0.01,circle
265,397,0.373,1,2,1,1,0.01,circle
659,989,0.758,1,2,1,0.4,0.01,circle
