gap,measured,predicted,ideal
0.4286,0.6558,0.6558,0.6571
0.4286,0.6558,0.6558,0.6571
0.4286,0.6558,0.6558,0.6571
0.4286,0.6558,0.6558,0.6571
0.4286,0.6558,0.6558,0.6571
0.4286,0.6558,0.6558,0.6571
0.4267,0.6557,0.6557,0.6571
0.4262,0.6557,0.6557,0.6571
0.4255,0.6557,0.6557,0.6571
0.4243,0.6556,0.6556,0.6571
0.4224,0.6554,0.6554,0.6571
0.4187,0.6552,0.6552,0.6571
0.4153,0.6549,0.6549,0.6571
0.4209,0.6553,0.6553,0.6571
0.4235,0.6555,0.6555,0.6571
0.425,0.6556,0.6556,0.6571
0.4259,0.6557,0.6557,0.6571
0.4265,0.6557,0.6557,0.6571
0.4269,0.6557,0.6557,0.6571
0.4211,0.6553,0.6553,0.6571
0.4191,0.6552,0.6552,0.6571
0.4161,0.6549,0.6549,0.6571
0.4116,0.6545,0.6545,0.6571
0.4039,0.6536,0.6536,0.6571
0.3891,0.6514,0.6514,0.6571
0.3758,0.6486,0.6486,0.6571
0.3979,0.6528,0.6528,0.6571
0.4083,0.6542,0.6542,0.6571
0.4141,0.6548,0.6548,0.6571
0.4177,0.6551,0.6551,0.6571
0.4201,0.6553,0.6553,0.6571
0.4218,0.6554,0.6554,0.6571
0.4117,0.6545,0.6545,0.6571
0.4072,0.654,0.654,0.6571
0.4007,0.6532,0.6532,0.6571
0.3905,0.6516,0.6516,0.6571
0.3734,0.648,0.648,0.6571
0.3406,0.637,0.637,0.6571
0.3111,0.6217,0.6218,0.6397
0.3599,0.6442,0.6442,0.6571
0.3832,0.6502,0.6502,0.6571
0.3962,0.6526,0.6526,0.6571
0.4043,0.6537,0.6537,0.6571
0.4096,0.6543,0.6543,0.6571
0.4134,0.6547,0.6547,0.6571
0.3986,0.6529,0.6529,0.6571
0.3907,0.6517,0.6517,0.6571
0.3791,0.6494,0.6494,0.6571
0.3612,0.6446,0.6446,0.6571
0.3311,0.6327,0.6327,0.6571
0.2738,0.5955,0.5955,0.6024
0.2229,0.5504,0.5505,0.5515
0.3075,0.6196,0.6196,0.6361
0.3483,0.6401,0.6401,0.6571
0.3712,0.6475,0.6475,0.6571
0.3855,0.6507,0.6507,0.6571
0.395,0.6524,0.6524,0.6571
0.4016,0.6533,0.6533,0.6571
0.3818,0.65,0.65,0.6571
0.3695,0.647,0.647,0.6571
0.3516,0.6414,0.6414,0.6571
0.3239,0.629,0.629,0.6525
0.2775,0.5984,0.5984,0.606
0.19,0.5184,0.5184,0.5186
0.1133,0.4432,0.4432,0.4419
0.2413,0.5677,0.5677,0.5699
0.3039,0.6173,0.6173,0.6325
0.3394,0.6365,0.6365,0.6571
0.3615,0.6447,0.6447,0.6571
0.3762,0.6487,0.6487,0.6571
0.3866,0.6509,0.6509,0.6571
0.3614,0.6447,0.6447,0.6571
0.3439,0.6384,0.6384,0.6571
